Issuer Name,BSE Code,NSE Code,Sector Name,Industry Name,BSE/NSE Flag
ABB India Limited,500002,ABB,Industrials,Capital Goods,Y
Aegis Logistics Ltd.,500003,,Energy,"Oil, Gas & Consumable Fuels",N
Amara Raja Energy & Mobility Limited,500008,ARE&M,Consumer Discretionary,Automobile and Auto Components,Y
Ambalal Sarabhai Enterprise Ltd.,500009,,Healthcare,Healthcare,N
Andhra Petrochemicals Ltd.,500012,,Commodities,Chemicals,N
Ansal Properties & Infrastructure Ltd.,500013,,Consumer Discretionary,Realty,N
UTIQUE ENTERPRISES LIMITED,500014,,Commodities,Metals & Mining,N
Aruna Hotels Ltd.,500016,,Consumer Discretionary,Consumer Services,N
Bombay Dyeing & Mfg. Co. Ltd.,500020,,Consumer Discretionary,Textiles,N
Asian Hotels (North) Limited,500023,ASIANHOTNR,Consumer Discretionary,Consumer Services,Y
Atul Limited.,500027,,Commodities,Chemicals,N
ATV Projects India Ltd,500028,,Industrials,Capital Goods,N
Bajaj Electricals Ltd.,500031,,Consumer Discretionary,Consumer Durables,N
Bajaj Hindusthan Sugar Limited,500032,BAJAJHIND,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Y
Force Motors Limited,500033,,Consumer Discretionary,Automobile and Auto Components,N
Bajaj Finance Limited,500034,BAJFINANCE,Financial Services,Financial Services,Y
Balrampur Chini Mills Ltd.,500038,,Fast Moving Consumer Goods,Fast Moving Consumer Goods,N
Banco Products (India) Ltd.,500039,,Consumer Discretionary,Automobile and Auto Components,N
ADITYA BIRLA REAL ESTATE LIMITED,500040,ABREL,Commodities,Forest Materials,Y
Bannari Amman Sugars Ltd.,500041,,Fast Moving Consumer Goods,Fast Moving Consumer Goods,N
BASF India Ltd,500042,,Commodities,Chemicals,N
Bata India Limited,500043,BATAINDIA,Consumer Discretionary,Consumer Durables,Y
BEML Ltd,500048,,Industrials,Capital Goods,N
Bharat Electronics Ltd.,500049,,Industrials,Capital Goods,N
Bhansali Engineering Polymers Ltd.,500052,,Commodities,Chemicals,N
Bihar Sponge Iron Ltd,500058,,Commodities,Metals & Mining,N
Binani Industries Limited,500059,BINANIIND,Financial Services,Financial Services,Y
Birla Cable Limited,500060,BIRLACABLE,Telecommunication,Telecommunication,Y
Blue Star Ltd,500067,,Consumer Discretionary,Consumer Durables,N
Disa India Ltd.,500068,,Industrials,Capital Goods,N
QUEST CAPITAL MARKETS LIMITED,500069,,Financial Services,Financial Services,N
BPL Ltd.,500074,,Consumer Discretionary,Consumer Durables,N
ORIENTAL AROMATICS LIMITED,500078,OAL,Commodities,Chemicals,Y
Century Extrusions Ltd.,500083,,Industrials,Capital Goods,N
CESC Limited,500084,CESC,Utilities,Power,Y
Chambal Fertilisers & Chemicals Ltd,500085,,Commodities,Chemicals,N
Exide Industries Ltd.,500086,,Consumer Discretionary,Automobile and Auto Components,N
Cipla Ltd.,500087,,Healthcare,Healthcare,N
DIC India Ltd,500089,,Commodities,Chemicals,N
CRISIL Ltd.,500092,,Financial Services,Financial Services,N
CG Power and Industrial Solutions Limited,500093,CGPOWER,Industrials,Capital Goods,Y
Dabur India Ltd.,500096,,Fast Moving Consumer Goods,Fast Moving Consumer Goods,N
Dalmia Bharat Sugar and Industries Ltd,500097,,Fast Moving Consumer Goods,Fast Moving Consumer Goods,N
Arvind Ltd.,500101,,Consumer Discretionary,Textiles,N
Bharat Heavy Electricals Ltd.,500103,,Industrials,Capital Goods,N
Hindustan Petroleum Corporation Ltd,500104,,Energy,"Oil, Gas & Consumable Fuels",N
