Date,Ticker,Open,High,Low,Close,Volume
2024-11-08,ABBOTINDIA.NS,27925.07,28511.9,27659.27,28160.84,15470
2024-11-11,ABBOTINDIA.NS,28207.14,28412.24,27966.54,28329.74,7021
2024-11-12,ABBOTINDIA.NS,28403.41,28719.01,28109.5,28205.02,5663
2024-11-13,ABBOTINDIA.NS,28113.45,28200.73,27171.57,27250.27,7236
2024-11-14,ABBOTINDIA.NS,27368.82,27520.65,26826.42,26975.5,7905
2024-11-18,ABBOTINDIA.NS,27068.11,27097.6,26679.42,26813.95,4672
2024-11-19,ABBOTINDIA.NS,26962.18,27129.01,26738.6,26850.39,10942
2024-11-21,ABBOTINDIA.NS,26891.47,26922.04,26542.43,26742.24,7808
2024-11-22,ABBOTINDIA.NS,26777.06,27384.5,26742.25,27337.75,6113
2024-11-25,ABBOTINDIA.NS,27515.77,27594.38,27260.33,27376.91,4573
2024-11-26,ABBOTINDIA.NS,27410.24,27478.94,26980.28,27125.95,5644
2024-11-27,ABBOTINDIA.NS,27125.95,27273.3,26796.79,27118.5,8046
2024-11-28,ABBOTINDIA.NS,27224.88,27283.07,26873.77,27002.23,13006
2024-11-29,ABBOTINDIA.NS,27002.22,27542.7,27002.22,27342.58,11597
2024-12-02,ABBOTINDIA.NS,27418.13,27806.57,27418.13,27667.76,7460
2024-12-03,ABBOTINDIA.NS,27712.83,28103.68,27585.8,28050.38,13979
2024-12-04,ABBOTINDIA.NS,28179.53,28552.34,27967.48,28453.71,5870
2024-12-05,ABBOTINDIA.NS,28314.65,28749.69,28113.5,28641.1,12269
2024-12-06,ABBOTINDIA.NS,28734.79,28896.94,28601.65,28636.41,5016
2024-12-09,ABBOTINDIA.NS,28636.41,28897.53,28491.24,28711.42,3243
2024-12-10,ABBOTINDIA.NS,28711.42,28849.2,28546.47,28595.98,4616
2024-12-11,ABBOTINDIA.NS,28798.85,28894.22,28408.59,28475.7,3263
2024-12-12,ABBOTINDIA.NS,28468.5,28553.57,28181.25,28353.41,3076
2024-12-13,ABBOTINDIA.NS,28113.45,28514.81,27951.95,28255.22,7850
2024-12-16,ABBOTINDIA.NS,28394.53,28394.53,27802.87,27863.18,5693
2024-12-17,ABBOTINDIA.NS,27861.95,27978.82,27566.07,27610.9,11470
2024-12-18,ABBOTINDIA.NS,27516.76,28098.65,27510.59,27723.48,5681
2024-12-19,ABBOTINDIA.NS,27702.18,28842.25,27556.26,28654.76,20491
2024-12-20,ABBOTINDIA.NS,28529.65,28817.25,28109.5,28261.73,14576
2024-12-23,ABBOTINDIA.NS,28210.1,28467.81,27972.51,28166.86,7166
2024-12-24,ABBOTINDIA.NS,28188.4,28254.39,27710.07,28121.63,5768
2024-12-26,ABBOTINDIA.NS,28124.3,28459.48,27813.87,28204.18,13901
2024-12-27,ABBOTINDIA.NS,28295.91,29251.45,28197.28,28861.53,31508
2024-12-30,ABBOTINDIA.NS,28749.59,29622.58,28747.62,29393.87,25920
2024-12-31,ABBOTINDIA.NS,29393.87,29676.53,29249.48,29332.47,10979
2025-01-01,ABBOTINDIA.NS,29420.44,29666.81,29203.32,29607.69,5346
2025-01-02,ABBOTINDIA.NS,29607.64,29771.41,29361.07,29545.75,6136
2025-01-03,ABBOTINDIA.NS,29636.24,29708.58,28948.91,29085.12,6842
2025-01-06,ABBOTINDIA.NS,28986.49,29578.0,28909.17,29539.19,12181
2025-01-07,ABBOTINDIA.NS,29587.91,30246.74,29494.27,29548.12,19691
2025-01-08,ABBOTINDIA.NS,29588.95,29785.16,29056.81,29201.54,9626
2025-01-09,ABBOTINDIA.NS,29094.78,29518.87,29045.42,29345.14,7682
2025-01-10,ABBOTINDIA.NS,29339.37,29412.31,28325.69,28377.57,7476
2025-01-13,ABBOTINDIA.NS,28219.96,28262.62,27854.16,28163.55,8154
2025-01-14,ABBOTINDIA.NS,28163.55,28305.87,27783.79,27847.7,10667
2025-01-15,ABBOTINDIA.NS,27980.3,28073.06,27319.51,27364.58,11977
2025-01-16,ABBOTINDIA.NS,27364.58,27566.07,26730.16,26923.13,12359
2025-01-17,ABBOTINDIA.NS,27063.08,27717.86,26923.13,27546.05,15194
2025-01-20,ABBOTINDIA.NS,27546.05,27726.83,27044.44,27301.85,8618
2025-01-21,ABBOTINDIA.NS,27368.82,27753.56,27214.12,27251.85,9128
2025-01-22,ABBOTINDIA.NS,27289.92,27467.44,27047.35,27392.93,6685
2025-01-23,ABBOTINDIA.NS,27418.13,27530.52,27148.49,27467.25,4584
2025-01-24,ABBOTINDIA.NS,27527.61,27575.79,26848.07,26907.59,5536
2025-01-27,ABBOTINDIA.NS,26679.52,26981.71,26109.36,26153.89,9110
2025-01-28,ABBOTINDIA.NS,26153.84,26263.32,25120.33,25345.06,20087
2025-01-29,ABBOTINDIA.NS,25006.72,25522.53,24977.13,25151.55,27004
2025-01-30,ABBOTINDIA.NS,25302.25,25840.11,25203.63,25770.48,7557
2025-01-31,ABBOTINDIA.NS,25581.22,25981.1,25581.22,25813.78,6906
2025-02-01,ABBOTINDIA.NS,25889.37,25963.34,25389.39,25536.44,19350
2025-02-03,ABBOTINDIA.NS,25536.44,25694.09,25406.21,25620.77,8122
2025-02-04,ABBOTINDIA.NS,25642.76,25937.65,25595.57,25764.46,9729
2025-02-05,ABBOTINDIA.NS,25938.74,27531.55,25668.55,27420.2,48840
2025-02-06,ABBOTINDIA.NS,27614.2,29035.56,27543.34,28681.63,93624
2025-02-07,ABBOTINDIA.NS,28581.92,29451.71,28581.87,29390.27,32928
2025-02-10,ABBOTINDIA.NS,28706.19,29439.97,28706.19,29275.66,11735
2025-02-11,ABBOTINDIA.NS,29275.66,29292.03,28620.44,28728.78,8385
2025-02-12,ABBOTINDIA.NS,28591.79,28898.46,27862.94,28384.67,12096
2025-02-13,ABBOTINDIA.NS,28108.57,28935.7,27883.99,27969.5,8028
2025-02-14,ABBOTINDIA.NS,28109.31,28259.12,27201.99,27457.34,15905
2025-02-17,ABBOTINDIA.NS,27538.31,28256.41,27171.47,28177.06,13719
2025-02-18,ABBOTINDIA.NS,27911.26,29079.1,27911.26,28922.68,24856
2025-02-19,ABBOTINDIA.NS,28266.32,29414.28,28255.67,29312.89,21240
2025-02-20,ABBOTINDIA.NS,29094.78,29397.22,28931.01,29025.4,5736
2025-02-21,ABBOTINDIA.NS,29025.4,29170.48,28330.43,28544.39,18419
2025-02-24,ABBOTINDIA.NS,28355.08,29439.97,28146.49,29403.97,35520
2025-02-25,ABBOTINDIA.NS,29094.83,30151.22,29094.83,29780.73,43438
2025-02-27,ABBOTINDIA.NS,29587.91,30025.81,28996.15,29552.16,33985
2025-02-28,ABBOTINDIA.NS,29193.41,30228.98,28715.07,29978.13,17580
2025-03-03,ABBOTINDIA.NS,30189.73,31133.39,29317.92,30755.21,30976
2025-03-04,ABBOTINDIA.NS,30920.35,31313.87,30152.65,31106.66,25847
2025-03-05,ABBOTINDIA.NS,31106.66,31460.78,30430.63,31016.12,20717
